model,tier,n,paa_strict,paa_numeric,formatting_gap,pct_consistent,pct_formatting_only,pct_factual
claude-haiku,simple,30,0.6366666666666667,1.0,0.3633333333333333,0.4666666666666667,0.5333333333333333,0.0
claude-haiku,moderate,24,0.8041666666666667,0.9041666666666667,0.09999999999999998,0.7083333333333334,0.125,0.16666666666666666
claude-haiku,complex,23,0.7086956521739131,0.7521739130434782,0.04347826086956519,0.6521739130434783,0.08695652173913043,0.2608695652173913
claude-sonnet,simple,30,0.62,0.9733333333333334,0.3533333333333334,0.4,0.5333333333333333,0.06666666666666667
claude-sonnet,moderate,24,0.8208333333333333,0.9583333333333334,0.13750000000000007,0.6666666666666666,0.25,0.08333333333333333
claude-sonnet,complex,23,0.7478260869565218,0.8565217391304347,0.10869565217391297,0.6086956521739131,0.17391304347826086,0.21739130434782608
